Institute Code,College,Course Code,Course,Status,Category,Cutoff Rank,Score
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,81186,61.6397637
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,41670,82.4443082
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,22022,91.0376802
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,16887,93.2464234
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,129864,20.1485207
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,50151,78.4161664
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,14528,94.2498036
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,62434,72.3940120
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,20602,91.7108778
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,52017,77.9969992
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,70454,68.3823818
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,113354,37.6936381
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,110749,39.9066862
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,64948,71.2687819
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,60742,73.3779089
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,49557,78.8754662
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,73669,66.4309764
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,108341,42.4233825
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,73493,66.4309764
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,60133,73.4246062
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,EWS,36146,85.1537884
